"";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"AT3G11330";0.0225036098668179;4.26490294288621;0.224020976364565;0.826377172260263;1;-7.03497641219844
"AT4G17483";-0.0224934920127297;0.925349343237343;-0.0929370872865557;0.927433204431837;1;-7.05720545256163
"AT2G04865";0.0224900784582909;3.33338676823455;0.284746129426606;0.780522390155019;1;-7.01849522337188
"AT4G35335";0.0224783182263262;3.51826911858159;0.104564474960113;0.918388040080915;1;-7.05597487009566
"AT1G65270";0.0224707477143768;5.0705145512;0.26611005330879;0.794512765306601;1;-7.02396705641981
"AT2G03530";0.0224623576724015;2.1285519123806;0.111683253993882;0.91285597922896;1;-7.05515007183335
"AT4G25770";0.022427719885882;3.58737917509629;0.239659048858507;0.814497072830223;1;-7.03110458551942
"AT4G23040";0.0224175046824637;2.98751690234305;0.169520809999557;0.868111864192769;1;-7.0464422461288
"AT5G63710";-0.022416790648887;3.10918704410724;-0.200429579400106;0.844383288282847;1;-7.04032694876856
"AT5G10810";0.0224006504255891;4.64744363785601;0.17226771968301;0.865997281790842;1;-7.04593992872244
"AT3G08525";-0.022362957985087;0.113805590730164;-0.195105429579905;0.848460021395969;1;-7.04145275604642
"AT2G45540";0.0223550943055559;3.6944897651428;0.210944884972583;0.836345524513822;1;-7.03801501491774
"AT1G11620";-0.0223502830879081;0.00372504718131801;-1.74972117537752;0.104766111994564;0.457217434708733;-5.59518238879687
"AT1G55945";0.0223382888063278;0.00372304813438796;1.74970629864346;0.104768764209929;0.457217434708733;-5.59520475568605
"AT1G54330";-0.022326761898951;0.570478257034036;-0.145810521759937;0.886406510750889;1;-7.05044379323371
"AT1G21740";-0.0223246438734335;2.4524049110693;-0.242062027467236;0.812675715153079;1;-7.03048669334059
"AT5G56620";-0.0223217253862509;1.0657978911897;-0.141136403913185;0.890021423912844;1;-7.05116188493058
"AT3G45600";-0.0223196798480521;4.8445748377438;-0.160451287294406;0.875101068784855;1;-7.04804367245673
"AT1G26945";0.0223171909643205;3.09861949335916;0.215935150970718;0.832537681840453;1;-7.03687677808904
"AT1G76320";0.0223170953209388;2.7897650933779;0.259552417954024;0.799453698200897;1;-7.02580543094111
"AT3G62600";-0.0223093002728625;5.439550655077;-0.240941814616356;0.813524648759056;1;-7.03077550019397
"AT3G27330";-0.0223027065289547;1.69671017034994;-0.355465470392234;0.728194057554819;1;-6.99441652352903
"AT3G16060";0.0223002075296392;4.5681933621455;0.336168308967974;0.742345135661454;1;-7.00150551134115
"AT3G01225";0.0222861139637258;0.0123123870563967;1.1383106289654;0.276433595235993;0.734434716975511;-6.40102860778553
"AT1G10980";-0.0222842283027804;0.0544313678739947;-0.325805645967924;0.749985340312812;1;-7.00515203300538
"AT2G47680";0.0222772644034857;1.93236178027454;0.159056980799175;0.876176545045176;1;-7.04828209426084
"AT3G11080";0.0222765456451937;0.815628532508402;0.305016617611609;0.765395408591272;1;-7.01212882747915
"AT3G08810";0.0222734588267934;0.10676688856686;0.294717953812841;0.773068731619145;1;-7.01541727704021
"AT3G55260";-0.0222659910841729;3.97093541562112;-0.264204389019338;0.795947667448486;1;-7.02450596737834
"AT1G08960";-0.0222625787828967;2.41775597680837;-0.174489541740401;0.864287701977649;1;-7.04552775411931
"AT4G12780";0.0222380534556015;4.08719190437844;0.237897898593835;0.815832668486284;1;-7.0315535621062
"AT2G37740";-0.0222376650017182;0.261662642915023;-0.215387351306292;0.832955468660802;1;-7.03700301716358
"AT3G24200";0.0222023509123486;3.64723738267863;0.317373551406487;0.75622263341112;1;-7.00803638364626
"AT3G07235";0.0221776923406284;0.0036962820567714;1.74950481416095;0.104804690640212;0.457217434708733;-5.59550767253966
"AT3G05050";-0.0221773704286647;3.75604547539097;-0.346152369097888;0.735010961808123;1;-6.99788621557807
"AT5G05130";0.0221766954482723;1.54046664297944;0.286896782595762;0.778912888483899;1;-7.0178402335916
"AT3G06600";0.0221717079784624;0.619916990723423;0.332262098758096;0.745221814843631;1;-7.00289323915656
"AT5G22390";0.0221670471746021;3.47989325265352;0.0718059973576372;0.943897595547015;1;-7.05907135363044
"AT2G44750";-0.0221603556657874;3.14887399054608;-0.211693797114481;0.835773786356215;1;-7.03784587933935
"AT5G18620";0.022152787527641;4.03230671708477;0.395385717715031;0.699253157390362;1;-6.97852343628996
"AT2G28570";-0.0221521517779628;3.35518098741197;-0.162362336997722;0.8736274326356;1;-7.04771352282198
"AT4G31060";0.0221369238484062;1.8730024516;0.152198444643252;0.881470470892901;1;-7.04942470748218
