"";"activated.genes";"repressed.genes";"DEGs"
"225";"AT1G23020";"AT4G18950";"AT1G23020"
"226";"AT1G05510";"AT2G34350";"AT1G05510"
"227";"AT2G17040";"AT5G56980";"AT2G17040"
"228";"AT4G09150";"AT5G26770";"AT4G09150"
"229";"AT3G53040";"AT2G31880";"AT3G53040"
"230";"AT3G17790";"AT4G20830";"AT3G17790"
"231";"AT5G17220";"AT2G26380";"AT5G17220"
"232";"AT5G58787";NA;"AT5G58787"
"233";"AT2G42540";NA;"AT2G42540"
"234";"AT5G03230";NA;"AT5G03230"
"235";"AT2G35300";NA;"AT2G35300"
"236";"AT4G33660";NA;"AT4G33660"
"237";"AT2G37362";NA;"AT2G37362"
"238";"AT2G27580";NA;"AT2G27580"
"239";"AT1G56150";NA;"AT1G56150"
"240";"AT5G18340";NA;"AT5G18340"
"241";"AT4G34950";NA;"AT4G34950"
"242";"AT2G01410";NA;"AT2G01410"
"243";"AT3G09922";NA;"AT3G09922"
"244";"AT4G21020";NA;"AT4G21020"
"245";"AT5G56010";NA;"AT5G56010"
"246";"AT1G07985";NA;"AT1G07985"
"247";"AT4G09135";NA;"AT4G09135"
"248";"AT5G55970";NA;"AT5G55970"
"249";"AT5G67330";NA;"AT5G67330"
"250";"AT5G64770";NA;"AT5G64770"
"251";"AT4G23570";NA;"AT4G23570"
"252";"AT1G48300";NA;"AT1G48300"
"253";"AT3G63060";NA;"AT3G63060"
"254";"AT1G65500";NA;"AT1G65500"
"255";"AT2G35480";NA;"AT2G35480"
"256";"AT4G11660";NA;"AT4G11660"
"257";"AT5G62920";NA;"AT5G62920"
"258";"AT1G27461";NA;"AT1G27461"
"259";"AT3G58450";NA;"AT3G58450"
"260";"AT2G18050";NA;"AT2G18050"
"261";"AT2G41260";NA;"AT2G41260"
"262";"AT2G16005";NA;"AT2G16005"
"263";"AT1G08973";NA;"AT1G08973"
"264";"AT3G05335";NA;"AT3G05335"
"265";"AT1G56300";NA;"AT1G56300"
"266";"AT1G27990";NA;"AT1G27990"
"267";"AT3G09390";NA;"AT3G09390"
"268";"AT3G27060";NA;"AT3G27060"
"269";"AT3G25230";NA;"AT3G25230"
"270";"AT5G11680";NA;"AT5G11680"
"271";"AT1G25440";NA;"AT1G25440"
"272";"AT1G67750";NA;"AT1G67750"
"273";"AT2G47770";NA;"AT2G47770"
